Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	42297	-	0	0	0	0	0	0	5	602	0	0	0	0	0	0	0	1	0	0	267	347	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-fr-core-contact-relationship.json	5965	15	0	0	0	1	0	0	1	22	0	0	0	0	0	0	0	0	0	0	24	2671	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-mode-validation-identite.json	1020	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	116	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-organization-uf-activity-field.json	1900	8	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	10	4082	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-use-period.json	1281	56	0	0	0	0	0	154	1	230	0	0	1	0	0	0	0	1	0	0	21	966	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-slot.json	1961	73	0	0	0	0	0	1187	0	651	0	0	0	0	0	0	0	0	0	0	149	933	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-role-code-categorie-professionnelle.json	3343	70	0	0	0	0	0	259	0	253	0	0	0	0	0	0	0	1	0	0	45	303	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-core-practitioner-role-exercice.json	5699	177	5	0	0	0	0	1005	0	1003	0	0	0	0	0	0	0	0	0	0	231	1235	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	5261	129	1	0	0	0	0	1788	0	1736	0	0	0	0	0	0	0	1	0	0	484	2872	0	0	0	11	0	1
fsh-generated/resources/ValueSet-fr-core-encounter-discharge-disposition.json	2069	7	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	10	317	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-location-type.json	577	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	64	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-civility-rass.json	860	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	294	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization.json	9066	316	0	0	0	0	0	1790	0	1852	0	0	0	0	0	0	0	1	0	0	475	2180	0	0	0	11	0	1
fsh-generated/resources/ValueSet-fr-core-email-type.json	826	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	279	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-executant.json	1521	55	0	0	0	0	0	149	0	149	0	0	0	0	0	0	0	0	0	0	21	206	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-practitioner-specialty.json	1152	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	294	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	3764	127	0	0	0	0	0	1239	0	1250	0	0	1	0	0	0	0	1	0	0	293	1155	0	0	0	7	1	0
fsh-generated/resources/ValueSet-fr-core-practitioner-qualification.json	2506	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	343	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-title.json	843	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	272	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-encounter-class.json	1359	5	1	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	7	289	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-heartrate.json	5705	190	0	0	0	0	0	1929	0	1938	0	0	0	0	0	0	0	1	0	0	509	2110	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-weight.json	3982	101	0	0	0	0	0	1665	0	1671	0	0	0	0	0	0	0	2	0	0	451	1914	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-fr-core-organization-field.json	1464	55	0	0	0	0	0	148	0	148	0	0	0	0	0	0	0	0	0	0	20	113	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-number-of-theorical-accomadation-space.json	1784	55	0	0	0	0	0	147	0	149	0	0	0	0	0	0	0	0	0	0	20	109	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-encounter-type.json	2070	7	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	9	259	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-location-position-room.json	1464	6	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	8	273	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-identity-method-collection.json	697	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	255	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-budget-letter.json	1543	55	0	0	0	0	0	147	0	147	0	0	0	0	0	0	0	0	0	0	19	124	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-pole.json	4602	156	0	0	0	0	0	988	0	1010	0	0	0	0	0	0	0	0	0	0	222	796	0	0	0	6	0	1
