Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	42297	-	0	0	0	0	0	0	11	537	0	0	0	0	0	0	0	1	0	0	253	423	0	0	1	7	0	1
fsh-generated/resources/CodeSystem-fr-core-contact-relationship.json	5965	15	0	0	1	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	24	2226	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-core-mode-validation-identite.json	1020	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	70	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-organization-uf-activity-field.json	1900	6	0	0	0	0	0	0	0	374	0	0	1	0	0	0	0	0	0	0	9	4447	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-use-period.json	1281	50	0	0	0	0	0	136	0	218	0	0	0	0	0	0	0	0	0	0	21	585	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-slot.json	2855	68	0	0	0	0	0	1129	0	561	0	0	0	0	0	0	0	1	0	0	151	956	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-fr-core-role-code-categorie-professionnelle.json	3343	62	0	0	0	0	0	221	1	231	0	0	0	0	0	0	0	0	0	0	45	323	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-practitioner-role-exercice.json	5984	140	0	0	0	0	0	907	0	905	0	0	0	0	0	0	0	1	0	0	301	1148	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	5973	117	0	0	0	0	0	1638	0	1580	0	0	0	0	0	0	0	3	0	0	484	2157	0	0	0	12	0	1
fsh-generated/resources/ValueSet-fr-core-encounter-discharge-disposition.json	2069	6	1	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	10	424	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-location-type.json	577	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-civility-rass.json	860	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	410	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization.json	10465	333	1	0	0	0	0	1633	0	1683	0	0	0	0	0	0	0	1	0	0	410	1438	0	0	0	11	0	1
fsh-generated/resources/ValueSet-fr-core-email-type.json	826	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	388	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-executant.json	1521	50	0	0	0	0	0	132	0	133	0	0	0	0	0	0	0	0	0	0	20	136	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-practitioner-specialty.json	1152	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	412	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	4666	118	0	0	0	0	0	1135	0	1130	0	0	1	0	0	0	0	0	0	0	294	918	0	0	0	7	0	0
fsh-generated/resources/ValueSet-fr-core-practitioner-qualification.json	2506	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	403	0	0	0	1	0	0
fsh-generated/resources/ValueSet-fr-core-title.json	843	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	415	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-encounter-class.json	1359	4	0	0	0	0	0	0	1	177	0	0	0	0	0	0	0	0	0	0	7	428	0	0	0	0	0	0
